answer_id,query,chunk_id,document_id,page_cited,page_start,page_end,total_pages,doc_exists,page_in_range,text_length,evidence_overlap_score,status,failure_reason
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_027330,balsalobre_lorente_2017_how_economic_growth_renewable_electricity_natural_resources_contribute_w2766937672,2017,35,35,48,True,False,0,0.0,missing_page,cited page 2017 exceeds document total pages 48
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_027225,balsalobre_lorente_2017_how_economic_growth_renewable_electricity_natural_resources_contribute_w2766937672,2017,5,5,48,True,False,0,0.0,missing_page,cited page 2017 exceeds document total pages 48
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_038758,dumas_2022_energy_return_investment_whole_energy_systems_application_belgium_2205_06727v4,2022,32,32,60,True,False,0,0.0,missing_page,cited page 2022 exceeds document total pages 60
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_027321,balsalobre_lorente_2017_how_economic_growth_renewable_electricity_natural_resources_contribute_w2766937672,2017,32,32,48,True,False,0,0.0,missing_page,cited page 2017 exceeds document total pages 48
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_027328,balsalobre_lorente_2017_how_economic_growth_renewable_electricity_natural_resources_contribute_w2766937672,2017,34,34,48,True,False,0,0.0,missing_page,cited page 2017 exceeds document total pages 48
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_038660,dumas_2022_energy_return_investment_whole_energy_systems_application_belgium_2205_06727v4,2022,9,9,60,True,False,0,0.0,missing_page,cited page 2022 exceeds document total pages 60
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_027345,balsalobre_lorente_2017_how_economic_growth_renewable_electricity_natural_resources_contribute_w2766937672,2017,40,40,48,True,False,0,0.0,missing_page,cited page 2017 exceeds document total pages 48
Q01,What renewable energy targets has the UAE committed to under its Net Zero 2050 strategy?,chunk_027232,balsalobre_lorente_2017_how_economic_growth_renewable_electricity_natural_resources_contribute_w2766937672,2017,7,7,48,True,False,0,0.0,missing_page,cited page 2017 exceeds document total pages 48
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_025618,calvin_2023_ipcc_2023_climate_change_2023_synthesis_report_summary_w4385123314,2023,21,21,42,True,False,0,0.0,missing_page,cited page 2023 exceeds document total pages 42
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_038171,cardenas_2024_financial_climate_risk_review_recent_advances_key_challenges_2404_07331v1,2024,10,10,20,True,False,0,0.0,missing_page,cited page 2024 exceeds document total pages 20
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_004760,tschakert_2010_anticipatory_learning_climate_change_adaptation_resilience_w64794879,2010,12,12,23,True,False,0,0.0,missing_page,cited page 2010 exceeds document total pages 23
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_038150,cardenas_2024_financial_climate_risk_review_recent_advances_key_challenges_2404_07331v1,2024,8,8,20,True,False,0,0.0,missing_page,cited page 2024 exceeds document total pages 20
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_025570,calvin_2023_ipcc_2023_climate_change_2023_synthesis_report_summary_w4385123314,2023,14,14,42,True,False,0,0.0,missing_page,cited page 2023 exceeds document total pages 42
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_025695,calvin_2023_ipcc_2023_climate_change_2023_synthesis_report_summary_w4385123314,2023,31,31,42,True,False,0,0.0,missing_page,cited page 2023 exceeds document total pages 42
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_025581,calvin_2023_ipcc_2023_climate_change_2023_synthesis_report_summary_w4385123314,2023,15,15,42,True,False,0,0.0,missing_page,cited page 2023 exceeds document total pages 42
Q02,"What high-confidence climate risks in the MENA region are documented by findings, and which sectors do they impact?",chunk_025688,calvin_2023_ipcc_2023_climate_change_2023_synthesis_report_summary_w4385123314,2023,30,30,42,True,False,0,0.0,missing_page,cited page 2023 exceeds document total pages 42
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_044684,barreto_2002_hydrogen_economy_21st_century_sustainable_development_scenario_w2093779538,2002,3,3,20,True,False,0,0.0,missing_page,cited page 2002 exceeds document total pages 20
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_032907,yang_2022_circular_economy_strategies_combating_climate_change_other_environmental_w4294733719,2022,5,5,26,True,False,0,0.0,missing_page,cited page 2022 exceeds document total pages 26
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_038156,cardenas_2024_financial_climate_risk_review_recent_advances_key_challenges_2404_07331v1,2024,9,9,20,True,False,0,0.0,missing_page,cited page 2024 exceeds document total pages 20
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_020433,kabeyi_2022_sustainable_energy_transition_renewable_low_carbon_grid_electricity_w4220773259,2022,19,19,45,True,False,0,0.0,missing_page,cited page 2022 exceeds document total pages 45
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_038218,cardenas_2024_financial_climate_risk_review_recent_advances_key_challenges_2404_07331v1,2024,15,15,20,True,False,0,0.0,missing_page,cited page 2024 exceeds document total pages 20
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_044801,barreto_2002_hydrogen_economy_21st_century_sustainable_development_scenario_w2093779538,2002,17,17,20,True,False,0,0.0,missing_page,cited page 2002 exceeds document total pages 20
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_038171,cardenas_2024_financial_climate_risk_review_recent_advances_key_challenges_2404_07331v1,2024,10,10,20,True,False,0,0.0,missing_page,cited page 2024 exceeds document total pages 20
Q03,Which technologies mitigate heatwave risk in the energy sector according to climate literature?,chunk_044833,barreto_2002_hydrogen_economy_21st_century_sustainable_development_scenario_w2093779538,2002,20,20,20,True,False,0,0.0,missing_page,cited page 2002 exceeds document total pages 20
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_015769,dufresne_2013_climate_change_projections_ipsl_cm5_earth_system_cmip3_w1990376608,2013,22,22,43,True,False,0,0.0,missing_page,cited page 2013 exceeds document total pages 43
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_015847,dufresne_2013_climate_change_projections_ipsl_cm5_earth_system_cmip3_w1990376608,2013,36,36,43,True,False,0,0.0,missing_page,cited page 2013 exceeds document total pages 43
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_024751,smith_2023_climate_uncertainty_impacts_optimal_mitigation_pathways_social_cost_2304_08957v3,2023,6,6,34,True,False,0,0.0,missing_page,cited page 2023 exceeds document total pages 34
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_046982,guo_2024_monthly_climate_prediction_deep_convolutional_neural_network_long_w4401163187,2024,1,1,17,True,False,0,0.0,missing_page,cited page 2024 exceeds document total pages 17
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_045098,forster_2020_current_future_global_climate_impacts_resulting_covid_19_w3048190739,2020,6,6,15,True,False,0,0.0,missing_page,cited page 2020 exceeds document total pages 15
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_015764,dufresne_2013_climate_change_projections_ipsl_cm5_earth_system_cmip3_w1990376608,2013,22,22,43,True,False,0,0.0,missing_page,cited page 2013 exceeds document total pages 43
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_015833,dufresne_2013_climate_change_projections_ipsl_cm5_earth_system_cmip3_w1990376608,2013,34,34,43,True,False,0,0.0,missing_page,cited page 2013 exceeds document total pages 43
Q04,How much has global mean temperature risen since pre-industrial times?,chunk_015711,dufresne_2013_climate_change_projections_ipsl_cm5_earth_system_cmip3_w1990376608,2013,12,12,43,True,False,0,0.0,missing_page,cited page 2013 exceeds document total pages 43
