query_id,gold_chunk_id,bm25_rank@50,member_owner,topic
D3Q001,chunk_036782,2,Reem,technology_innovation
D3Q002,chunk_006699,1,Reem,adaptation
D3Q003,chunk_036179,1,Reem,adaptation
D3Q004,chunk_023284,1,Salma,climate_science
D3Q005,chunk_039454,2,Salma,policy_governance
D3Q006,chunk_035742,1,Salma,technology_innovation
D3Q007,chunk_021253,1,Rana,adaptation
D3Q008,chunk_006718,2,Rana,climate_science
D3Q009,chunk_033119,1,Rana,mitigation
D3Q010,chunk_036501,5,Aaya,climate_science
D3Q011,chunk_035143,4,Aaya,mitigation
D3Q012,chunk_024912,1,Aaya,policy_governance
D3Q013,chunk_045100,3,Alia,mitigation
D3Q014,chunk_029715,4,Alia,technology_innovation
D3Q015,chunk_032344,1,Alia,adaptation
