index,routing_topic,adaptive_helpful,feedback_reason,adapter_update
0,climate_science,False,too_broad,"FeedbackUpdate(topic='climate_science', helpful=False, reason='too_broad', bm25_weight=0.45, dense_weight=0.55, n_feedback=1)"
1,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.45, dense_weight=0.55, n_feedback=1)"
2,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.4, dense_weight=0.6, n_feedback=2)"
3,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.35, dense_weight=0.65, n_feedback=3)"
4,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.3, dense_weight=0.7, n_feedback=4)"
5,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.25, dense_weight=0.75, n_feedback=5)"
6,policy_governance,False,too_broad,"FeedbackUpdate(topic='policy_governance', helpful=False, reason='too_broad', bm25_weight=0.45, dense_weight=0.55, n_feedback=1)"
7,policy_governance,False,too_broad,"FeedbackUpdate(topic='policy_governance', helpful=False, reason='too_broad', bm25_weight=0.4, dense_weight=0.6, n_feedback=2)"
8,policy_governance,False,too_broad,"FeedbackUpdate(topic='policy_governance', helpful=False, reason='too_broad', bm25_weight=0.35, dense_weight=0.65, n_feedback=3)"
9,policy_governance,False,missed_exact_chunk,"FeedbackUpdate(topic='policy_governance', helpful=False, reason='missed_exact_chunk', bm25_weight=0.3, dense_weight=0.7, n_feedback=4)"
10,mitigation,False,missed_document_or_page,"FeedbackUpdate(topic='mitigation', helpful=False, reason='missed_document_or_page', bm25_weight=0.45, dense_weight=0.55, n_feedback=1)"
11,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.2, dense_weight=0.8, n_feedback=6)"
12,mitigation,False,too_broad,"FeedbackUpdate(topic='mitigation', helpful=False, reason='too_broad', bm25_weight=0.4, dense_weight=0.6, n_feedback=2)"
13,technology_innovation,False,too_broad,"FeedbackUpdate(topic='technology_innovation', helpful=False, reason='too_broad', bm25_weight=0.15, dense_weight=0.85, n_feedback=7)"
14,policy_governance,False,missed_exact_chunk,"FeedbackUpdate(topic='policy_governance', helpful=False, reason='missed_exact_chunk', bm25_weight=0.25, dense_weight=0.75, n_feedback=5)"
