finding_id,doc_id,page,text,confidence,extraction_method,risk,sector,country_id,technology,qdrant_chunk_id,question_id,question,topic
d3_gold_finding_D3Q001,treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1,1,"The answer should state that FeederBW contains real-world energy data from 200 low-voltage feeders, recorded by Netze BW over 2023-2025, with weather information, feeder metadata, low-carbon technology installation changes, high photovoltaic feed-in, and one-minute temporal resolution.",high,d3_gold_qa_curated,technology innovation,buildings,Germany,electric vehicles,chunk_036782,D3Q001,What makes the FeederBW low-voltage grid dataset useful for energy-transition planning research?,technology_innovation
d3_gold_finding_D3Q002,fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,11,"The answer should mention that adjusting sowing date can help accommodate the thermal trend, because warming accelerates crop growth, shortens phenological phases, and affects photosynthesis, starch conversion, nutrient metabolism, and water-stress response.",high,d3_gold_qa_curated,drought,agriculture,China,,chunk_006699,D3Q002,How can sowing-date adjustment help cereal crops respond to warming-driven phenology changes?,adaptation
d3_gold_finding_D3Q003,ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1,7,"The answer should explain that the framework uses interactive photogrammetric dendrometry with uncalibrated commodity smartphones as a low-cost data-gathering module, linking tree-data generation to urban-scale analysis and individual-level action such as cooling and eco-routing.",high,d3_gold_qa_curated,adaptation,infrastructure,India,,chunk_036179,D3Q003,How does the citizen-centered climate intelligence framework collect open tree data for urban cooling and eco-routing?,adaptation
d3_gold_finding_D3Q004,shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1,3,"The answer should state that warming and changing precipitation patterns can make old transformer-loading assumptions unreliable. It should mention five-day precipitation projections, flash-flood limitations, hottest-spot temperature, and thermal aging as reasons for reevaluating substation risk.",high,d3_gold_qa_curated,climate vulnerability,energy,United States,transformer,chunk_023284,D3Q004,Why do climate projections create vulnerability concerns for electrical substations and transformer loading practices?,climate_science
d3_gold_finding_D3Q005,scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1,19,"The answer should say that participants wanted support to simplify information gathering and planning, and that energy advisors could provide independent advice. It should also mention that perceived commercial interests can jeopardize a trusting relationship.",high,d3_gold_qa_curated,policy governance,energy,Germany,solar PV,chunk_039454,D3Q005,"Why can energy advisors help residential solar adoption, and what trust risk does the evidence identify?",policy_governance
d3_gold_finding_D3Q006,smith_2019_current_future_role_haber_bosch_ammonia_carbon_free_w2998496658,2,"The answer should explain that ammonia has historically been important for fertilisers and other uses, and that carbon-free ammonia depends on improved water electrolysis efficiency and small-scale production systems that can align with the intermittency and geographic isolation of renewable generation.",high,d3_gold_qa_curated,emissions,energy,Global,battery storage,chunk_035742,D3Q006,How could carbon-free Haber-Bosch ammonia production align with intermittent renewable energy?,technology_innovation
d3_gold_finding_D3Q007,smith_2010_politics_social_ecological_resilience_sustainable_socio_technical_transitions_w1788156339,4,"The answer should say that resilience becomes problematic when definitions conflate structure and function. It should distinguish whether the object of resilience is preserving existing structure or maintaining desired function, and relate this to socio-technical transition management debates.",high,d3_gold_qa_curated,emissions,energy,Global,,chunk_021253,D3Q007,Why can resilience definitions become problematic in social-ecological and socio-technical transition debates?,adaptation
d3_gold_finding_D3Q008,fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,12,"The answer should state that warming brings heat, drought, and salinity stresses, causes cereal phenological events to occur earlier, shortens growth phases, gives plants less time to assimilate CO2, and contributes to yield reduction and food-security risk.",high,d3_gold_qa_curated,drought,agriculture,China,,chunk_006718,D3Q008,How does climate warming create food-security risk through cereal-crop phenology?,climate_science
d3_gold_finding_D3Q009,balcombe_2019_how_decarbonise_international_shipping_options_fuels_technologies_policies_w2906683991,4,"The answer should say there is no silver-bullet solution; halving shipping carbon emissions requires multiple options such as new fuels, efficiency improvements, and demand reduction. It should mention that LNG can reduce air-quality impacts and direct CO2 but methane emissions reduce the greenhouse-gas benefit.",high,d3_gold_qa_curated,emissions,energy,Global,carbon capture,chunk_033119,D3Q009,Why is there no single solution for decarbonising international shipping?,mitigation
d3_gold_finding_D3Q010,alkhayuon_2019_basin_bifurcations_oscillatory_instability_rate_induced_thresholds_amoc_1901_10111v2,17,"The answer should explain that AMOC tipping can depend on the rate and shape of freshwater perturbations, not only the total amount added. Shorter, more intense perturbations can be more effective at inducing tipping onto a lower branch.",high,d3_gold_qa_curated,emissions,industry,Global,,chunk_036501,D3Q010,What does the AMOC box-model evidence say about rate-induced freshwater perturbations and tipping?,climate_science
