index,query,actual_topic,predicted_topic,correct,cumulative_accuracy,rolling_accuracy,drift_alert,phase
1,what were the major climate outcomes from COP28 in the UAE focusing on COP28,uae_cop28,__none__,FALSE,0,0,FALSE,stable_pre_drift
2,what evidence discusses climate resilience for agriculture focusing on flood risk,adaptation,uae_cop28,FALSE,0,0,FALSE,stable_pre_drift
3,show COP28 evidence about loss and damage finance with source support,uae_cop28,adaptation,FALSE,0,0,FALSE,stable_pre_drift
4,retrieve climate evidence for how can renewable energy reduce greenhouse gas emissions,mitigation,adaptation,FALSE,0,0,FALSE,stable_pre_drift
5,what mitigation actions reduce fossil fuel dependence focusing on decarbonization,mitigation,adaptation,FALSE,0,0,FALSE,stable_pre_drift
6,retrieve climate evidence for which documents discuss UAE renewable energy commitments,uae_cop28,mitigation,FALSE,0,0,FALSE,stable_pre_drift
7,what does climate science say about sea level rise for the GraphRAG agent,climate_science,adaptation,FALSE,0,0,FALSE,stable_pre_drift
8,which papers explain global temperature anomalies focusing on temperature,climate_science,adaptation,FALSE,0,0,FALSE,stable_pre_drift
9,what does climate science say about sea level rise for the GraphRAG agent,climate_science,climate_science,TRUE,0.1111,0.1111,FALSE,stable_pre_drift
10,explain the science behind climate feedback loops focusing on sea level,climate_science,climate_science,TRUE,0.2,0.2,FALSE,stable_pre_drift
11,what evidence mentions the UAE consensus and transition away from fossil fuels focusing on COP28,uae_cop28,uae_cop28,TRUE,0.2727,0.2727,FALSE,stable_pre_drift
12,which climate policies address renewable energy targets focusing on finance,policy_governance,uae_cop28,FALSE,0.25,0.25,FALSE,stable_pre_drift
13,how can smart grids improve clean energy integration focusing on satellite,technology_innovation,mitigation,FALSE,0.2308,0.2308,FALSE,stable_pre_drift
14,show climate evidence about methane reduction strategies focusing on decarbonization,mitigation,uae_cop28,FALSE,0.2143,0.2143,FALSE,stable_pre_drift
15,what evidence links carbon pricing to emissions reduction in the evidence graph,mitigation,uae_cop28,FALSE,0.2,0.2,FALSE,stable_pre_drift
16,how did COP28 address the global stocktake from the climate PDFs,uae_cop28,uae_cop28,TRUE,0.25,0.25,FALSE,stable_pre_drift
17,how did COP28 address the global stocktake from the climate PDFs,uae_cop28,uae_cop28,TRUE,0.2941,0.2941,FALSE,stable_pre_drift
18,which source explains what role does machine learning play in climate analysis,technology_innovation,climate_science,FALSE,0.2778,0.2778,FALSE,stable_pre_drift
19,show findings about ocean warming and ice melt with source support,climate_science,uae_cop28,FALSE,0.2632,0.2632,FALSE,stable_pre_drift
20,how can cities adapt to extreme heat and flooding with source support,adaptation,technology_innovation,FALSE,0.25,0.25,FALSE,stable_pre_drift
21,which source explains what adaptation policies help water security,adaptation,technology_innovation,FALSE,0.2381,0.2381,FALSE,stable_pre_drift
22,summarize documents about show documents about climate finance policy,policy_governance,uae_cop28,FALSE,0.2273,0.2273,FALSE,stable_pre_drift
23,show evidence about disaster risk reduction and resilience focusing on heat stress,adaptation,mitigation,FALSE,0.2174,0.2174,FALSE,stable_pre_drift
24,what evidence discusses carbon market governance from the climate PDFs,policy_governance,uae_cop28,FALSE,0.2083,0.2083,FALSE,stable_pre_drift
25,which innovations support green hydrogen deployment focusing on AI,technology_innovation,adaptation,FALSE,0.2,0.2,FALSE,stable_pre_drift
26,what evidence links carbon pricing to emissions reduction focusing on decarbonization,mitigation,mitigation,TRUE,0.2308,0.2308,FALSE,stable_pre_drift
27,what evidence discusses carbon market governance using reliable citations,policy_governance,policy_governance,TRUE,0.2593,0.2593,FALSE,stable_pre_drift
28,what evidence discusses carbon market governance focusing on finance,policy_governance,policy_governance,TRUE,0.2857,0.2857,FALSE,stable_pre_drift
29,show climate evidence about methane reduction strategies using reliable citations,mitigation,policy_governance,FALSE,0.2759,0.2759,FALSE,stable_pre_drift
30,which source explains show findings about ocean warming and ice melt,climate_science,climate_science,TRUE,0.3,0.3,FALSE,stable_pre_drift
31,how does drought planning reduce climate risk focusing on resilience,adaptation,adaptation,TRUE,0.3226,0.3226,FALSE,stable_pre_drift
32,how did COP28 address the global stocktake with source support,uae_cop28,uae_cop28,TRUE,0.3438,0.3438,FALSE,stable_pre_drift
33,summarize documents about how did COP28 address the global stocktake,uae_cop28,uae_cop28,TRUE,0.3636,0.3636,FALSE,stable_pre_drift
34,show evidence about satellite monitoring for climate risks in the evidence graph,technology_innovation,mitigation,FALSE,0.3529,0.3529,FALSE,stable_pre_drift
35,how can renewable energy reduce greenhouse gas emissions focusing on net zero,mitigation,mitigation,TRUE,0.3714,0.3714,FALSE,stable_pre_drift
36,retrieve climate evidence for which papers explain global temperature anomalies,climate_science,climate_science,TRUE,0.3889,0.3889,FALSE,stable_pre_drift
37,how can renewable energy reduce greenhouse gas emissions focusing on renewables,mitigation,mitigation,TRUE,0.4054,0.4054,FALSE,stable_pre_drift
38,what technologies support carbon capture and storage using reliable citations,technology_innovation,policy_governance,FALSE,0.3947,0.3947,FALSE,stable_pre_drift
39,which adaptation measures protect coastal communities focusing on water security,adaptation,adaptation,TRUE,0.4103,0.4103,FALSE,stable_pre_drift
40,what role does machine learning play in climate analysis focusing on satellite,technology_innovation,technology_innovation,TRUE,0.425,0.425,FALSE,stable_pre_drift
41,show documents about climate finance policy using reliable citations,policy_governance,policy_governance,TRUE,0.439,0.439,FALSE,stable_pre_drift
42,what does the dataset say about which climate policies address renewable energy targets,policy_governance,policy_governance,TRUE,0.4524,0.4524,FALSE,stable_pre_drift
43,what mitigation actions reduce fossil fuel dependence with source support,mitigation,mitigation,TRUE,0.4651,0.4651,FALSE,stable_pre_drift
44,find evidence on show climate evidence about methane reduction strategies,mitigation,mitigation,TRUE,0.4773,0.4773,FALSE,stable_pre_drift
45,which source explains what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.4889,0.4889,FALSE,stable_pre_drift
46,what adaptation policies help water security focusing on flood risk,adaptation,adaptation,TRUE,0.5,0.5,FALSE,stable_pre_drift
47,which source explains show evidence about satellite monitoring for climate risks,technology_innovation,climate_science,FALSE,0.4894,0.4894,FALSE,stable_pre_drift
48,which source explains what governance mechanisms support national climate plans,policy_governance,technology_innovation,FALSE,0.4792,0.4792,FALSE,stable_pre_drift
49,what evidence links emissions to radiative forcing for the project report,climate_science,mitigation,FALSE,0.4694,0.4694,FALSE,stable_pre_drift
50,answer using citations about show climate evidence about methane reduction strategies,mitigation,mitigation,TRUE,0.48,0.48,FALSE,stable_pre_drift
51,retrieve climate evidence for what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.4902,0.5,FALSE,stable_pre_drift
52,which source explains what governance mechanisms support national climate plans,policy_governance,policy_governance,TRUE,0.5,0.52,FALSE,stable_pre_drift
53,how can cities adapt to extreme heat and flooding focusing on water security,adaptation,adaptation,TRUE,0.5094,0.54,FALSE,stable_pre_drift
54,which AI methods are used in climate forecasting papers using reliable citations,technology_innovation,technology_innovation,TRUE,0.5185,0.56,FALSE,stable_pre_drift
55,which source explains how can renewable energy reduce greenhouse gas emissions,mitigation,mitigation,TRUE,0.5273,0.58,FALSE,stable_pre_drift
56,what governance mechanisms support national climate plans focusing on accountability,policy_governance,policy_governance,TRUE,0.5357,0.6,FALSE,stable_pre_drift
57,how does drought planning reduce climate risk focusing on resilience,adaptation,adaptation,TRUE,0.5439,0.62,FALSE,stable_pre_drift
58,what evidence links emissions to radiative forcing for the project report,climate_science,climate_science,TRUE,0.5517,0.64,FALSE,stable_pre_drift
59,what does the dataset say about what role does machine learning play in climate analysis,technology_innovation,technology_innovation,TRUE,0.5593,0.64,FALSE,stable_pre_drift
60,how can cities adapt to extreme heat and flooding focusing on resilience,adaptation,adaptation,TRUE,0.5667,0.64,FALSE,stable_pre_drift
61,how can renewable energy reduce greenhouse gas emissions using reliable citations,mitigation,mitigation,TRUE,0.5738,0.64,FALSE,stable_pre_drift
62,how can cities adapt to extreme heat and flooding focusing on resilience,adaptation,adaptation,TRUE,0.5806,0.66,FALSE,stable_pre_drift
63,what mitigation actions reduce fossil fuel dependence from the climate PDFs,mitigation,mitigation,TRUE,0.5873,0.68,FALSE,stable_pre_drift
64,which climate policies address renewable energy targets with source support,policy_governance,policy_governance,TRUE,0.5938,0.7,FALSE,stable_pre_drift
65,which AI methods are used in climate forecasting papers using reliable citations,technology_innovation,technology_innovation,TRUE,0.6,0.72,FALSE,stable_pre_drift
66,answer using citations about how can smart grids improve clean energy integration,technology_innovation,technology_innovation,TRUE,0.6061,0.72,FALSE,stable_pre_drift
