index,phase,query,actual_topic,predicted_topic,topic_confidence,routing_reason,bm25_weight,dense_weight,updated_bm25_weight,updated_dense_weight,feedback_helpful,feedback_reason,update_note,top_doc_id,top_doc_topic,recall@5,citation_hit,latency_ms
4,stable_pre_drift,retrieve climate evidence for how can renewable energy reduce greenhouse gas emissions,mitigation,adaptation,0.9754158797953548,adaptive_confident_topic,0.5,0.5,0.48,0.52,False,keyword_mismatch,updated_after_2_failures,chunk_020523,"renewable_energy, sustainability",0.0,0.0,216.23229997931048
13,stable_pre_drift,how can smart grids improve clean energy integration focusing on satellite,technology_innovation,mitigation,0.5200838538538276,adaptive_confident_topic,0.5,0.5,0.48,0.52,False,keyword_mismatch,updated_after_2_failures,chunk_023986,climate_ai,0.0,0.0,198.509899986675
17,stable_pre_drift,how did COP28 address the global stocktake from the climate PDFs,uae_cop28,uae_cop28,0.9973118987092663,adaptive_confident_topic,0.5,0.5,0.52,0.48,False,missed_exact_policy,updated_after_2_failures,chunk_017579,climate_science,0.0,0.0,206.8427000194788
33,stable_pre_drift,summarize documents about how did COP28 address the global stocktake,uae_cop28,uae_cop28,0.9983761319490168,adaptive_confident_topic,0.52,0.48,0.54,0.46,False,missed_exact_policy,updated_after_2_failures,chunk_001432,climate_science,0.0,0.0,182.22119999700226
38,stable_pre_drift,what technologies support carbon capture and storage using reliable citations,technology_innovation,policy_governance,0.743669005849807,adaptive_confident_topic,0.5,0.5,0.48,0.52,False,keyword_mismatch,updated_after_2_failures,chunk_039290,carbon_capture,0.0,0.0,191.6821000049822
54,stable_pre_drift,which AI methods are used in climate forecasting papers using reliable citations,technology_innovation,technology_innovation,0.6076992494803625,adaptive_confident_topic,0.5,0.5,0.48,0.52,False,keyword_mismatch,updated_after_2_failures,chunk_014693,renewable_energy,0.0,0.0,224.257599998964
61,stable_pre_drift,how can renewable energy reduce greenhouse gas emissions using reliable citations,mitigation,mitigation,0.9998976040826001,adaptive_confident_topic,0.48,0.52,0.46,0.54,False,keyword_mismatch,updated_after_2_failures,chunk_020523,"renewable_energy, sustainability",0.0,0.0,197.87859998177737
65,stable_pre_drift,which AI methods are used in climate forecasting papers using reliable citations,technology_innovation,technology_innovation,0.9964740665925491,adaptive_confident_topic,0.48,0.52,0.46,0.54,False,keyword_mismatch,updated_after_2_failures,chunk_014693,renewable_energy,0.0,0.0,228.1809000123758
70,stable_pre_drift,how can smart grids improve clean energy integration focusing on satellite,technology_innovation,technology_innovation,0.9815374470225796,adaptive_confident_topic,0.46,0.54,0.44,0.56,False,keyword_mismatch,updated_after_2_failures,chunk_023986,climate_ai,0.0,0.0,208.25599998352118
73,stable_pre_drift,which AI methods are used in climate forecasting papers focusing on green hydrogen,technology_innovation,technology_innovation,0.9996178459665214,adaptive_confident_topic,0.44,0.56,0.42,0.58,False,keyword_mismatch,updated_after_2_failures,chunk_046993,climate_ai,0.0,0.0,236.18889998761006
75,stable_pre_drift,retrieve climate evidence for which documents discuss UAE renewable energy commitments,uae_cop28,uae_cop28,0.5886726434194791,adaptive_confident_topic,0.54,0.46,0.56,0.44,False,missed_exact_policy,updated_after_2_failures,chunk_035851,renewable_energy,0.0,0.0,209.65870001236908
83,stable_pre_drift,show evidence about satellite monitoring for climate risks with source support,technology_innovation,technology_innovation,0.8243222494265977,adaptive_confident_topic,0.42,0.58,0.4,0.6,False,keyword_mismatch,updated_after_2_failures,chunk_028091,climate_science,0.0,0.0,208.03449998493306
94,stable_pre_drift,which documents discuss UAE renewable energy commitments focusing on global stocktake,uae_cop28,uae_cop28,0.9968959097267943,adaptive_confident_topic,0.56,0.44,0.58,0.42,False,missed_exact_policy,updated_after_2_failures,chunk_039666,"climate_science, mitigation, policy_governance, renewable_energy",0.0,0.0,204.16010002372786
101,stable_pre_drift,how did COP28 address the global stocktake for the GraphRAG agent,uae_cop28,uae_cop28,0.9998785452783988,adaptive_confident_topic,0.58,0.42,0.6,0.4,False,missed_exact_policy,updated_after_2_failures,chunk_001432,climate_science,0.0,0.0,233.8523999787867
104,stable_pre_drift,show evidence about satellite monitoring for climate risks with source support,technology_innovation,technology_innovation,0.9757506292129674,adaptive_confident_topic,0.4,0.6,0.38,0.62,False,keyword_mismatch,updated_after_2_failures,chunk_028091,climate_science,0.0,0.0,233.31310000503436
108,stable_pre_drift,answer using citations about which UAE initiatives were discussed in the COP28 documents,uae_cop28,uae_cop28,0.9534424978435101,adaptive_confident_topic,0.6,0.4,0.62,0.38,False,missed_exact_policy,updated_after_2_failures,chunk_045306,sustainability,0.0,0.0,244.69069999759085
110,stable_pre_drift,how did COP28 address the global stocktake focusing on UAE consensus,uae_cop28,uae_cop28,0.9999995147849217,adaptive_confident_topic,0.62,0.38,0.64,0.36,False,missed_exact_policy,updated_after_2_failures,chunk_001432,climate_science,0.0,0.0,213.5351000179071
112,stable_pre_drift,which AI methods are used in climate forecasting papers for the project report,technology_innovation,technology_innovation,0.9968776601290614,adaptive_confident_topic,0.38,0.62,0.36,0.64,False,keyword_mismatch,updated_after_2_failures,chunk_046993,climate_ai,0.0,0.0,251.13650001003407
118,stable_pre_drift,how can smart grids improve clean energy integration for the project report,technology_innovation,technology_innovation,0.9970282513838671,adaptive_confident_topic,0.36,0.64,0.34,0.66,False,keyword_mismatch,updated_after_2_failures,chunk_031008,"mitigation, renewable_energy",0.0,0.0,226.65940001024865
