query_id,question_id,question,query,retrieval_query,expected_answer_points,reference_answer,gold_document_id,relevant_doc_id,relevant_document_id,gold_page_start,gold_page_end,page_cited,gold_chunk_id,relevant_chunk_ids,topic,true_topic,question_type,member_owner,risk_level,source_validation_status,document_title,notes
D3Q001,D3Q001,What makes the FeederBW low-voltage grid dataset useful for energy-transition planning research?,FeederBW low-voltage Netze BW one-minute feed-in installations weather metadata 200 feeders,FeederBW low-voltage Netze BW one-minute feed-in installations weather metadata 200 feeders,"The answer should state that FeederBW contains real-world energy data from 200 low-voltage feeders, recorded by Netze BW over 2023-2025, with weather information, feeder metadata, low-carbon technology installation changes, high photovoltaic feed-in, and one-minute temporal resolution.","The answer should state that FeederBW contains real-world energy data from 200 low-voltage feeders, recorded by Netze BW over 2023-2025, with weather information, feeder metadata, low-carbon technology installation changes, high photovoltaic feed-in, and one-minute temporal resolution.",treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1,treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1,treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1,1,1,1,chunk_036782,chunk_036782,technology_innovation,technology_innovation,retrieval_citation,Reem,low,valid,Real-world energy data of 200 feeders from low-voltage grids with metadata in Germany over two years,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q002,D3Q002,How can sowing-date adjustment help cereal crops respond to warming-driven phenology changes?,cereal crops phenology sowing date thermal trend photosynthesis starch metabolism phenolo shortens accommodate,cereal crops phenology sowing date thermal trend photosynthesis starch metabolism phenolo shortens accommodate,"The answer should mention that adjusting sowing date can help accommodate the thermal trend, because warming accelerates crop growth, shortens phenological phases, and affects photosynthesis, starch conversion, nutrient metabolism, and water-stress response.","The answer should mention that adjusting sowing date can help accommodate the thermal trend, because warming accelerates crop growth, shortens phenological phases, and affects photosynthesis, starch conversion, nutrient metabolism, and water-stress response.",fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,11,11,11,chunk_006699,chunk_006699,adaptation,adaptation,retrieval_citation,Reem,medium,valid,The fingerprints of climate warming on cereal crops phenology and adaptation options,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q003,D3Q003,How does the citizen-centered climate intelligence framework collect open tree data for urban cooling and eco-routing?,interactive photogrammetric dendrometry uncalibrated commodity smartphones data-gathering close-range photogrammetry urban-scale individual-level action,interactive photogrammetric dendrometry uncalibrated commodity smartphones data-gathering close-range photogrammetry urban-scale individual-level action,"The answer should explain that the framework uses interactive photogrammetric dendrometry with uncalibrated commodity smartphones as a low-cost data-gathering module, linking tree-data generation to urban-scale analysis and individual-level action such as cooling and eco-routing.","The answer should explain that the framework uses interactive photogrammetric dendrometry with uncalibrated commodity smartphones as a low-cost data-gathering module, linking tree-data generation to urban-scale analysis and individual-level action such as cooling and eco-routing.",ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1,ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1,ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1,7,7,7,chunk_036179,chunk_036179,adaptation,adaptation,retrieval_citation,Reem,low,valid,Citizen Centered Climate Intelligence: Operationalizing Open Tree Data for Urban Cooling and Eco-Routing in Indian Cities,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q004,D3Q004,Why do climate projections create vulnerability concerns for electrical substations and transformer loading practices?,Massachusetts substations transformer thermal aging hottest spot temperature flash flood five-day precipitation reevaluation Bedford,Massachusetts substations transformer thermal aging hottest spot temperature flash flood five-day precipitation reevaluation Bedford,"The answer should state that warming and changing precipitation patterns can make old transformer-loading assumptions unreliable. It should mention five-day precipitation projections, flash-flood limitations, hottest-spot temperature, and thermal aging as reasons for reevaluating substation risk.","The answer should state that warming and changing precipitation patterns can make old transformer-loading assumptions unreliable. It should mention five-day precipitation projections, flash-flood limitations, hottest-spot temperature, and thermal aging as reasons for reevaluating substation risk.",shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1,shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1,shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1,3,3,3,chunk_023284,chunk_023284,climate_science,climate_science,retrieval_citation,Salma,medium,valid,Assessing Climate Vulnerability Risk for Substations in Massachusetts Via Sensitivity Analysis,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q005,D3Q005,"Why can energy advisors help residential solar adoption, and what trust risk does the evidence identify?",energy advisors accused commercial interests jeopardizing trusting relationship simplify information gathering planning process,energy advisors accused commercial interests jeopardizing trusting relationship simplify information gathering planning process,"The answer should say that participants wanted support to simplify information gathering and planning, and that energy advisors could provide independent advice. It should also mention that perceived commercial interests can jeopardize a trusting relationship.","The answer should say that participants wanted support to simplify information gathering and planning, and that energy advisors could provide independent advice. It should also mention that perceived commercial interests can jeopardize a trusting relationship.",scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1,scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1,scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1,19,19,19,chunk_039454,chunk_039454,policy_governance,policy_governance,retrieval_citation,Salma,low,valid,Stakeholder dynamics in residential solar energy adoption: findings from focus group discussions in Germany,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q006,D3Q006,How could carbon-free Haber-Bosch ammonia production align with intermittent renewable energy?,offertilisers explosives ammoniahasbeen geo-political efficie sincethen decisive carbon-free borders intermittency Haber-Bosch ammonia,offertilisers explosives ammoniahasbeen geo-political efficie sincethen decisive carbon-free borders intermittency Haber-Bosch ammonia,"The answer should explain that ammonia has historically been important for fertilisers and other uses, and that carbon-free ammonia depends on improved water electrolysis efficiency and small-scale production systems that can align with the intermittency and geographic isolation of renewable generation.","The answer should explain that ammonia has historically been important for fertilisers and other uses, and that carbon-free ammonia depends on improved water electrolysis efficiency and small-scale production systems that can align with the intermittency and geographic isolation of renewable generation.",smith_2019_current_future_role_haber_bosch_ammonia_carbon_free_w2998496658,smith_2019_current_future_role_haber_bosch_ammonia_carbon_free_w2998496658,smith_2019_current_future_role_haber_bosch_ammonia_carbon_free_w2998496658,2,2,2,chunk_035742,chunk_035742,technology_innovation,technology_innovation,retrieval_citation,Salma,low,valid,Current and future role of Haber–Bosch ammonia in a carbon-free energy landscape,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q007,D3Q007,Why can resilience definitions become problematic in social-ecological and socio-technical transition debates?,resilience conflate structure function socio-technical transition management Stirling problematic social-ecological systems,resilience conflate structure function socio-technical transition management Stirling problematic social-ecological systems,"The answer should say that resilience becomes problematic when definitions conflate structure and function. It should distinguish whether the object of resilience is preserving existing structure or maintaining desired function, and relate this to socio-technical transition management debates.","The answer should say that resilience becomes problematic when definitions conflate structure and function. It should distinguish whether the object of resilience is preserving existing structure or maintaining desired function, and relate this to socio-technical transition management debates.",smith_2010_politics_social_ecological_resilience_sustainable_socio_technical_transitions_w1788156339,smith_2010_politics_social_ecological_resilience_sustainable_socio_technical_transitions_w1788156339,smith_2010_politics_social_ecological_resilience_sustainable_socio_technical_transitions_w1788156339,4,4,4,chunk_021253,chunk_021253,adaptation,adaptation,graph_multihop,Rana,medium,valid,The Politics of Social-ecological Resilience and Sustainable Socio-technical Transitions,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q008,D3Q008,How does climate warming create food-security risk through cereal-crop phenology?,climate warming cereal crops phenological phases shortened assimilate CO2 yield reduction heat drought salinity northwest,climate warming cereal crops phenological phases shortened assimilate CO2 yield reduction heat drought salinity northwest,"The answer should state that warming brings heat, drought, and salinity stresses, causes cereal phenological events to occur earlier, shortens growth phases, gives plants less time to assimilate CO2, and contributes to yield reduction and food-security risk.","The answer should state that warming brings heat, drought, and salinity stresses, causes cereal phenological events to occur earlier, shortens growth phases, gives plants less time to assimilate CO2, and contributes to yield reduction and food-security risk.",fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424,12,12,12,chunk_006718,chunk_006718,climate_science,climate_science,graph_multihop,Rana,medium,valid,The fingerprints of climate warming on cereal crops phenology and adaptation options,V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q009,D3Q009,Why is there no single solution for decarbonising international shipping?,halving bullet liquefied silver raising undergone decarbonise paradigm offering decarbonisation shipping LNG methane emissions,halving bullet liquefied silver raising undergone decarbonise paradigm offering decarbonisation shipping LNG methane emissions,"The answer should say there is no silver-bullet solution; halving shipping carbon emissions requires multiple options such as new fuels, efficiency improvements, and demand reduction. It should mention that LNG can reduce air-quality impacts and direct CO2 but methane emissions reduce the greenhouse-gas benefit.","The answer should say there is no silver-bullet solution; halving shipping carbon emissions requires multiple options such as new fuels, efficiency improvements, and demand reduction. It should mention that LNG can reduce air-quality impacts and direct CO2 but methane emissions reduce the greenhouse-gas benefit.",balcombe_2019_how_decarbonise_international_shipping_options_fuels_technologies_policies_w2906683991,balcombe_2019_how_decarbonise_international_shipping_options_fuels_technologies_policies_w2906683991,balcombe_2019_how_decarbonise_international_shipping_options_fuels_technologies_policies_w2906683991,4,4,4,chunk_033119,chunk_033119,mitigation,mitigation,graph_multihop,Rana,medium,valid,"How to decarbonise international shipping: Options for fuels, technologies and policies",V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
D3Q010,D3Q010,What does the AMOC box-model evidence say about rate-induced freshwater perturbations and tipping?,AMOC rate-induced oscillatory bifurcations freshwater perturbations lower branch tipping instability solely determined,AMOC rate-induced oscillatory bifurcations freshwater perturbations lower branch tipping instability solely determined,"The answer should explain that AMOC tipping can depend on the rate and shape of freshwater perturbations, not only the total amount added. Shorter, more intense perturbations can be more effective at inducing tipping onto a lower branch.","The answer should explain that AMOC tipping can depend on the rate and shape of freshwater perturbations, not only the total amount added. Shorter, more intense perturbations can be more effective at inducing tipping onto a lower branch.",alkhayuon_2019_basin_bifurcations_oscillatory_instability_rate_induced_thresholds_amoc_1901_10111v2,alkhayuon_2019_basin_bifurcations_oscillatory_instability_rate_induced_thresholds_amoc_1901_10111v2,alkhayuon_2019_basin_bifurcations_oscillatory_instability_rate_induced_thresholds_amoc_1901_10111v2,17,17,17,chunk_036501,chunk_036501,climate_science,climate_science,online_adaptation,Aaya,medium,valid,"Basin bifurcations, oscillatory instability and rate-induced thresholds for AMOC in a global oceanic box model",V2 exact-chunk-friendly gold row. The question is human-readable; query/retrieval_query include distinctive evidence terms for exact retrieval evaluation. Source chunk was selected from Reem-valid page_citation_check SAMPLE rows.
