method,index,phase,query,actual_topic,predicted_topic,topic_correct,bm25_weight,dense_weight,top_doc_id,top_doc_topic,recall@5,mrr@5,ndcg@5,citation_hit,feedback_helpful,feedback_reason,topic_confidence,routing_reason,feedback_update_applied,updated_bm25_weight,updated_dense_weight,update_note,prequential_topic_accuracy_so_far,latency_ms
static,1,stable_pre_drift,what were the major climate outcomes from COP28 in the UAE focusing on COP28,uae_cop28,__none__,False,0.5,0.5,chunk_003858,adaptation,0.0,0.0,0.0,0.0,False,missed_exact_policy,,static_baseline,False,,,not_adaptive_mode,0.0,310.91720005497336
static,2,stable_pre_drift,what evidence discusses climate resilience for agriculture focusing on flood risk,adaptation,uae_cop28,False,0.5,0.5,chunk_026231,"climate_finance, policy_governance",1.0,0.5,0.7328286204777911,0.0,True,helpful_in_top5,,static_baseline,False,,,not_adaptive_mode,0.0,451.3296000659466
static,3,stable_pre_drift,show COP28 evidence about loss and damage finance with source support,uae_cop28,adaptation,False,0.5,0.5,chunk_024517,"climate_science, policy_governance",0.0,0.0,0.0,0.0,False,missed_exact_policy,,static_baseline,False,,,not_adaptive_mode,0.0,543.6394999269396
static,4,stable_pre_drift,retrieve climate evidence for how can renewable energy reduce greenhouse gas emissions,mitigation,adaptation,False,0.5,0.5,chunk_020523,"renewable_energy, sustainability",0.0,0.0,0.0,0.0,False,keyword_mismatch,,static_baseline,False,,,not_adaptive_mode,0.0,550.1295999856666
static,5,stable_pre_drift,what mitigation actions reduce fossil fuel dependence focusing on decarbonization,mitigation,adaptation,False,0.5,0.5,chunk_023107,energy_transition,1.0,0.5,0.6797310500037655,0.0,True,helpful_in_top5,,static_baseline,False,,,not_adaptive_mode,0.0,306.3663999782875
static,6,stable_pre_drift,retrieve climate evidence for which documents discuss UAE renewable energy commitments,uae_cop28,mitigation,False,0.5,0.5,chunk_035851,renewable_energy,0.0,0.0,0.0,0.0,False,missed_exact_policy,,static_baseline,False,,,not_adaptive_mode,0.0,262.35009997617453
static,7,stable_pre_drift,what does climate science say about sea level rise for the GraphRAG agent,climate_science,adaptation,False,0.5,0.5,chunk_005305,"adaptation, sea_level_rise",1.0,0.5,0.6240505200038379,0.0,True,helpful_in_top5,,static_baseline,False,,,not_adaptive_mode,0.0,317.9037000518292
static,8,stable_pre_drift,which papers explain global temperature anomalies focusing on temperature,climate_science,adaptation,False,0.5,0.5,chunk_030302,climate_science,1.0,1.0,1.0,1.0,True,helpful_top1,,static_baseline,False,,,not_adaptive_mode,0.0,256.4192999852821
static,9,stable_pre_drift,what does climate science say about sea level rise for the GraphRAG agent,climate_science,climate_science,True,0.5,0.5,chunk_005305,"adaptation, sea_level_rise",1.0,0.5,0.6240505200038379,0.0,True,helpful_in_top5,,static_baseline,False,,,not_adaptive_mode,0.1111111111111111,292.9389000637457
static,10,stable_pre_drift,explain the science behind climate feedback loops focusing on sea level,climate_science,climate_science,True,0.5,0.5,chunk_005305,"adaptation, sea_level_rise",1.0,0.25,0.5012658353418871,0.0,True,helpful_in_top5,,static_baseline,False,,,not_adaptive_mode,0.2,239.308699965477
